name,category,calories,protein,carbs,fat,fiber,standardUnit

"ธัญญาหาร ชนิดแท่ง รสแอปเปิ้ล (แคลเซียม วิตามินอี วิตามินซี สูง, ไขมันต่ำ) (ตรา เนสวิต้า)",fruit,81.01,1,17,1,0,ชิ้น (กลาง)
มะม่วงหิมพานต์ เมล็ด อบเกลือ,fruit,708.76,23.48,31.74,54.21,4.88,ถ้วยตวง
มะม่วงหิมพานต์ เมล็ด อบเนย,fruit,705.55,22,33.06,53.92,5.81,ถ้วยตวง
มะม่วงหิมพานต์ เมล็ดแห้ง ดิบ,fruit,696.93,21.54,32.27,53.52,5.59,ถ้วยตวง
เงาะ เมล็ด ต้ม,fruit,556.04,9.51,38.88,40.28,0,ถ้วยตวง
แตงโม อ่อน ดิบ,fruit,20.34,0.72,3.96,0.18,0,ถ้วยตวง
มะม่วง ใบอ่อน ดิบ,fruit,45.4,2.69,8.35,0.14,0,ถ้วยตวง
มะละกอ ดิบ,fruit,32.22,0.8,6.97,0.13,3.38,ถ้วยตวง
หยวกกล้วยอ่อน ดิบ,fruit,14.17,0.87,2.18,0.22,2.12,ถ้วยตวง
หน่อไม้ฝรั่ง ดิบ,fruit,24.93,2.55,3.52,0.07,2.69,ถ้วยตวง
มะละกอ ใบและยอด ดิบ,fruit,76.03,4.39,12.02,1.15,0,ถ้วยตวง
มะละกอ ใบและยอด ต้ม,fruit,45.22,4.03,6.62,0.29,0,ถ้วยตวง
ส้มป่อย ใบ ดิบ,fruit,4.83,0.4,0.72,0.04,0,ทัพพี
มะม่วงหิมพานต์ ยอดอ่อน ดิบ,fruit,19.47,0.93,3.88,0.02,2.97,ถ้วยตวง
ส้มป่อย (เพ่อไชดุ) ต้ม (กะเหรี่ยงเมืองกาญฯ),fruit,65.24,4.3,11.2,0.36,8.1,100 กรัม
น้ำส้มซ่า,fruit,72.16,1.02,17.02,0,0.82,ถ้วยตวง
หน่อไม้ฝรั่ง ลวก,fruit,9.32,0.79,1.37,0.07,0.91,ทัพพี
กล้วยน้ำว้า ตาก,fruit,383.18,3.17,92.3,0.14,9.1,ถ้วยตวง
กล้วยน้ำว้า ดิบ,fruit,178.41,2.04,41.9,0.29,0,ถ้วยตวง
กล้วยน้ำว้า สุก,fruit,180.51,1.15,43.49,0.22,3.52,ถ้วยตวง
กล้วยหอม สุก,fruit,152.24,1.77,35.92,0.17,2.31,ถ้วยตวง
กล้วยหักมุก สุก,fruit,68.15,0.46,16.18,0.17,2.96,ชิ้น (กลาง)
เงาะ,fruit,105.21,1.33,24.55,0.19,2.23,ถ้วยตวง
ชมพู่เขียว,fruit,40.53,0.56,9.48,0.04,1.33,ถ้วยตวง
ทุเรียนหมอนทอง,fruit,251.66,3.91,46,5.78,4.81,ถ้วยตวง
ฝรั่ง,fruit,53.01,0.63,12.42,0.09,4.22,ถ้วยตวง
พุทราแอปเปิ้ล,fruit,57.71,1.07,13.09,0.12,2.38,ถ้วยตวง
มะขามป้อม,fruit,79.98,0.87,17.73,0.62,0,ถ้วยตวง
มะม่วงน้ำดอกไม้ สุก,fruit,105.06,0.9,24.65,0.32,1.52,ถ้วยตวง
มะม่วงทองดำ ดิบ,fruit,97.75,0.74,22.7,0.44,0,ถ้วยตวง
มะม่วงพิมเสนมัน ดิบ,fruit,103.19,0.97,23.55,0.57,2.05,ถ้วยตวง
มะม่วงหนังกลางวัน สุก,fruit,117.52,0.69,28.22,0.21,0,ถ้วยตวง
มะม่วงอกร่อง สุก,fruit,107.79,0.83,25.53,0.26,1.69,ถ้วยตวง
มะม่วงแก้ว ดิบ,fruit,92.09,0.71,21.83,0.22,3.42,ถ้วยตวง
มะม่วงแก้ว สุก,fruit,129.13,0.83,31.14,0.14,2.22,ถ้วยตวง
มะม่วงแรด ดิบ,fruit,87.04,0.57,20.67,0.23,2.49,ถ้วยตวง
มะละกอ สุก,fruit,56.79,0.83,13.11,0.11,2.69,ถ้วยตวง
มังคุด,fruit,121.32,0.76,29.35,0.1,2.45,ถ้วยตวง
ลิ้นจี่,fruit,97.85,1.43,22.5,0.24,1.79,ถ้วยตวง
สับปะรด,fruit,74.1,0.68,17.69,0.07,2.21,ถ้วยตวง
ส้มเช้ง,fruit,71.84,1.35,16.34,0.12,2.89,ถ้วยตวง
ส้มเกลี้ยง,fruit,75.46,0.72,18.14,0,0,ถ้วยตวง
ส้มเขียวหวาน,fruit,61.04,1.17,13.55,0.24,2.18,ถ้วยตวง
ส้มโอ,fruit,68.06,1.4,15.2,0.18,2.3,ถ้วยตวง
กล้วยเล็บมือนาง สุก,fruit,12.15,0.27,2.7,0.03,0.22,ชิ้น (เล็ก)
มะกอกฝรั่ง,fruit,50.46,0.85,11.77,0,0,ถ้วยตวง
สตรอเบอร์รี,fruit,51.05,1.07,10.18,0.67,4.73,ถ้วยตวง
สาลี่,fruit,64.19,0.52,14.93,0.26,2.95,ถ้วยตวง
แอปเปิ้ล แดง,fruit,70.89,0.25,17.11,0.16,2.71,ถ้วยตวง
องุ่นเขียว,fruit,79.86,0.67,19.03,0.12,1.54,ถ้วยตวง
องุ่นแดงไทย ลูกเล็ก,fruit,2.14,0.02,0.51,0.01,0.1,ชิ้น (เล็ก)
ทุเรียนชะนี,fruit,269.87,4.63,42.41,9.08,6.31,ถ้วยตวง
มะม่วงทองดำ สุก,fruit,114.15,0.83,27.7,0,0,ถ้วยตวง
มะม่วงพิมเสนมัน สุก,fruit,89.24,1.39,20.29,0.28,0,ถ้วยตวง
มะม่วงเขียวเสวย ดิบ,fruit,90.25,0.78,21.45,0.15,4.02,ถ้วยตวง
สับปะรด แห้ง,fruit,330.4,0,82.6,0,0,100 กรัม
ชมพู่แก้มแหม่ม,fruit,19.84,0.36,4.6,0,0.52,ถ้วยตวง
ชมพู่แขกดำ,fruit,28.56,0.73,6.41,0,0.83,ถ้วยตวง
ชมพู่นาค,fruit,32.67,0.36,7.8,0,0.83,ถ้วยตวง
ชมพู่สาแหรก,fruit,36.27,0,8.81,0.11,0.94,ถ้วยตวง
ชมพู่สีชาด,fruit,23.71,0.46,5.47,0,0.62,ถ้วยตวง
ชมพู่เมืองเพชร,fruit,34.36,0.6,7.99,0,1.33,ถ้วยตวง
ทุเรียนก้านยาว,fruit,279.27,4.62,53.67,5.12,2.77,ถ้วยตวง
ลิ้นจี่โฮงฮวย,fruit,115.03,1.76,26.19,0.36,1.49,ถ้วยตวง
ทุเรียนเทศ / ทุเรียนน้ำ,fruit,30.45,0.46,6.95,0.09,0,ชิ้น (เล็ก)
มะเดื่อฝรั่ง,fruit,65.6,1,14.5,0.4,0,100 กรัม
มะเดื่อฝรั่ง แห้ง,fruit,309.4,4.8,69.4,1.4,0,100 กรัม
ลิ้นจี่ แห้ง,fruit,269.88,3.12,59.9,1.98,0,ถ้วยตวง
มะม่วงหิมพานต์ ผล สุก,fruit,96.12,1.26,21.96,0.36,0,ถ้วยตวง
ส้มแขก,fruit,12.96,0.36,2.88,0,0.47,ถ้วยตวง
กล้วยหิน,fruit,66.93,0.64,15.31,0.35,0,ชิ้น (กลาง)
ทุเรียน ทอด,fruit,279.42,2.41,31.06,16.17,2.43,ถ้วยตวง
ลิ้นจี่ป่า / บักแงว,fruit,97.45,1.49,22.2,0.3,1.79,ถ้วยตวง
ลิ้นจี่ป่า (โผ่วมี้ซา) (กะเหรี่ยงเมืองกาญฯ),fruit,65.4,1,14.9,0.2,1.2,100 กรัม
เงาะป่า (โผ่ซุ่ซา) (กะเหรี่ยงเมืองกาญฯ),fruit,76.5,1,17.9,0.1,0.8,100 กรัม
มะม่วงสุก (ขุไดยะ) (กะเหรี่ยงเมืองกาญฯ),fruit,92.9,0.6,22.4,0.1,1,100 กรัม
กล้วยสุก (กะเหรี่ยงเมืองกาญฯ),fruit,100,0.9,24.1,0,1.5,100 กรัม
มังคุดป่า (กะเหรี่ยงเมืองกาญฯ),fruit,68.31,0.59,14.08,1.07,3.8,100 กรัม
ชมพู่ทับทิมจันทร์,fruit,58.05,0.55,13.57,0.18,1.5,ถ้วยตวง
ส้มโอ ขาวน้ำผึ้ง,fruit,71.76,1.09,15.44,0.62,2.13,ถ้วยตวง
ส้มโอ ทองดี,fruit,68.69,1.05,14.79,0.59,1.52,ถ้วยตวง
สาลี่หอม,fruit,75.61,0.62,17.58,0.31,4.32,ถ้วยตวง
แอปเปิ้ล เขียว,fruit,65.48,0.22,15.91,0.11,4.92,ถ้วยตวง
แอปเปิ้ล ฟูจิ,fruit,70.73,0.23,17.18,0.12,4.08,ถ้วยตวง
ส้มสายน้ำผึ้ง,fruit,76.67,1.7,16.72,0.33,2.36,ถ้วยตวง
ลิ้นจี่จักรพรรดิ,fruit,102.11,1.56,23.26,0.31,1.19,ถ้วยตวง
แตงโม จินตหราแดง,fruit,58.05,1.45,13.07,0,0.94,ถ้วยตวง
แตงโม จินตหราเหลือง,fruit,44.06,1.1,9.92,0,0.8,ถ้วยตวง
กล้วยน้ำว้า งอม,fruit,175.44,1.48,42.23,0.07,3.54,ถ้วยตวง
กล้วยน้ำว้า ห่าม,fruit,189.86,1.5,45.96,0,3.16,ถ้วยตวง
กล้วยงาช้าง สุก,fruit,202.35,1.5,48.75,0.15,4.2,ถ้วยตวง
กล้วยนมสาว สุก,fruit,130.83,1.32,30.72,0.29,10.14,ถ้วยตวง
กล้วยนางพญา สุก,fruit,212.1,2.1,50.25,0.3,11.25,ถ้วยตวง
กล้วยน้ำไทย สุก,fruit,182.79,1.84,43.37,0.22,10.58,ถ้วยตวง
องุ่นดำ ไทย,fruit,1.78,0.02,0.42,0,0.03,ชิ้น (เล็ก)
องุ่นแดง ไร้เมล็ด,fruit,93.01,1.31,21.35,0.26,1.44,ถ้วยตวง
ส้มโชกุน,fruit,65.89,1.53,14.32,0.28,1.81,ถ้วยตวง
เงาะโรงเรียน,fruit,107.05,1.28,25.09,0.18,2.2,ถ้วยตวง
เงาะสีชมพู,fruit,101.13,1.45,22.97,0.38,1.58,ถ้วยตวง
ลิ้นจี่จอมใจกวางเจา,fruit,94.91,1.34,22.05,0.15,1.79,ถ้วยตวง
ลิ้นจี่แห้ว,fruit,137.08,1.64,32.63,0,0,ถ้วยตวง
มะม่วงเขียวเสวย สุก,fruit,113.98,0.69,25.3,1.11,0,ถ้วยตวง
มะม่วงทะวาย ดิบ,fruit,90.86,1.03,21.43,0.11,0,ถ้วยตวง
มะม่วงพิมเสนมัน ห่าม,fruit,105.91,0.8,24.4,0.57,0,ถ้วยตวง
ชมพู่ทูลเกล้า,fruit,44.46,0.6,10.24,0.12,1.29,ถ้วยตวง
ทุเรียนกบตาขำ,fruit,251.3,4.91,40.72,7.64,4.16,ถ้วยตวง
ทุเรียนกบพิกุล,fruit,583.33,10.47,101.29,15.15,8.49,ถ้วยตวง
ทุเรียนกระดุม,fruit,305.21,5.48,53.02,7.91,5.16,ถ้วยตวง
ทุเรียนกำปั่นเจ้ากรม,fruit,571.34,8.03,108.72,11.59,7.47,ถ้วยตวง
ทุเรียนชมพูศรี,fruit,246.93,4.92,41.98,6.59,6.79,ถ้วยตวง
ทุเรียนทองย้อยฉัตร,fruit,232.67,5.24,38.64,6.35,1.62,ถ้วยตวง
ทุเรียนลวง,fruit,244.36,4.53,43.91,5.62,0,ถ้วยตวง
สับปะรดศรีราชา,fruit,66.11,0.69,15.67,0.07,2.55,ถ้วยตวง
กล้วยพันธุ์ต่างๆ อบกรอบ รสธรรมชาติ,fruit,233.74,1.81,39.99,7.4,3.78,ถ้วยตวง
กล้วยหอม ทอดกรอบ รสต่างๆ,fruit,300.92,1.51,26.81,20.85,2.31,ถ้วยตวง
ทุเรียน อบกรอบ,fruit,294.16,1.82,29.02,18.98,3.33,ถ้วยตวง
มะขามป้อม ดอง,fruit,51.36,0.64,12.2,0,0,ถ้วยตวง
มะม่วง ดอง,fruit,30.62,0.25,6.9,0.23,0,ทัพพี
มะม่วง อบแห้ง,fruit,574.51,2.15,139.35,0.95,16.86,ถ้วยตวง
สตรอเบอร์รี่ แช่แข็ง,fruit,55.48,1.07,12.19,0.27,3.48,ถ้วยตวง
สตรอเบอร์รี่ อบแห้ง,fruit,474.36,1.88,116.71,0,3.08,ถ้วยตวง
ส้ม อบแห้ง,fruit,600.62,3.78,144.82,0.69,20.12,ถ้วยตวง
ส้มจุก,fruit,55.6,0.97,12.93,0,0,ถ้วยตวง
สับปะรด แช่แข็ง,fruit,67.05,0.68,15.78,0.14,1.9,ถ้วยตวง
สับปะรด ทอดอบกรอบ,fruit,234.21,1.92,40.25,7.28,5.04,ถ้วยตวง
สับปะรด ในน้ำสับปะรด บรรจุกระป๋อง,fruit,69.63,0.54,16.86,0,1.36,ถ้วยตวง
ส้มฟัก,fruit,116.61,15.36,9.96,1.71,0.63,ถ้วยตวง
เค็มบักนัด / เค็มหมากนัด / เค็มสับปะรด,fruit,83.68,1.36,12.88,2.97,0,100 กรัม
หมากฝรั่ง,fruit,11.68,0,2.9,0.01,0.07,ชิ้น (กลาง)
น้ำส้มสายชู,fruit,34.4,0,8.6,0,0,ถ้วยตวง
น้ำพริกแกงส้ม,fruit,305.22,15.15,55.79,2.39,12.55,ถ้วยตวง
ซอสมะม่วง,fruit,323.82,1.26,79.13,0.25,1.89,ถ้วยตวง
น้ำส้มคั้น,fruit,70,1.47,15.55,0.21,0,ถ้วยตวง
น้ำอัดลม กลิ่นส้ม (ตรา แฟนต้า),fruit,116.23,0,29.06,0,0,ถ้วยตวง
น้ำสับปะรดสด,fruit,93.81,0.43,23.03,0,0,ถ้วยตวง
น้ำสับปะรด กระป๋อง,fruit,109.16,0.21,27.08,0,0,ถ้วยตวง
น้ำองุ่น 100%,fruit,88.29,0.4,21.67,0,0,ถ้วยตวง
น้ำลิ้นจี่ 25%,fruit,57.44,0.24,14.03,0.04,0.09,ถ้วยตวง
น้ำฝรั่งแดง 25%,fruit,112.59,0.15,27.86,0.06,0.62,ถ้วยตวง
น้ำแอปเปิ้ล 100% (ตรา มาลี),fruit,118.83,0,29.71,0,0,ถ้วยตวง
น้ำส้ม 100% ไม่ระบุยี่ห้อ,fruit,75.19,1.36,17.03,0.18,0.72,ถ้วยตวง
น้ำแตงโมปั่น พร้อมดื่ม,fruit,101.01,0.67,24.46,0.06,0.29,ถ้วยตวง
น้ำรสส้ม 15%,fruit,132.07,0,33.02,0,0,ถ้วยตวง
น้ำอัดลม กลิ่นสตรอเบอร์รี่ (ตรา แฟนต้า),fruit,123.95,0,30.99,0,0,ถ้วยตวง
น้ำอัดลม กลิ่นส้ม (ตรา มิรินด้า),fruit,104.06,0,26.02,0,0,ถ้วยตวง
น้ำอัดลม กลิ่นสตรอเบอร์รี่ (ตรา มิรินด้า),fruit,110.69,0,27.67,0,0,ถ้วยตวง
น้ำทับทิมผสมน้ำองุ่น 100% (ตรา ชบา),fruit,101.86,0,25.46,0,0,ถ้วยตวง
น้ำส้มเขียวหวานผสมเกล็ดส้ม 100% (ตรา ชบา),fruit,88.28,0,22.07,0,0,ถ้วยตวง
น้ำฝรั่ง 100% แคลเซียมสูง (ตรา ดอยคำ),fruit,140.45,0,35.11,0,5.32,ถ้วยตวง
น้ำลิ้นจี่ 100% (ตรา ดอยคำ),fruit,106,0,26.5,0,0,ถ้วยตวง
น้ำสตรอเบอร์รี่ 100% (ตรา ดอยคำ),fruit,113.08,1.05,27.22,0,0,ถ้วยตวง
น้ำองุ่นผสมน้ำแอปเปิ้ล 40% (ตรา มาลี จู๊ซมิกซ์),fruit,114.59,0,28.65,0,0,ถ้วยตวง
น้ำส้ม 100% (ตรา มาลี),fruit,117.71,0,29.43,0,0,ถ้วยตวง
น้ำสับปะรด 100% (ตรา มาลี),fruit,98.07,0,24.52,0,1.07,ถ้วยตวง
น้ำมะม่วง (ตรา สุวรรณี),fruit,95.92,2.07,20.74,0.52,0,ถ้วยตวง
น้ำแอปเปิ้ลแดง 100% (ตรา เทสโก้),fruit,114.59,0,28.65,0,0,ถ้วยตวง
น้ำองุ่นแดง 100% (ตรา เทสโก้),fruit,106.1,0,26.52,0,0,ถ้วยตวง
น้ำส้มเขียวหวานผสมเกล็ดส้ม 100% (ตรา เทสโก้),fruit,100.9,0,25.22,0,0,ถ้วยตวง
น้ำแอปเปิ้ล 100% (ตรา ทิปโก้),fruit,110.34,0,27.59,0,0,ถ้วยตวง
น้ำองุ่นแดง 100% (ตรา ทิปโก้),fruit,89.12,0,22.28,0,0,ถ้วยตวง
น้ำพรุนผสมน้ำองุ่น 100% (ตรา ทิปโก้),fruit,72.68,0,16.98,0.53,1.06,ถ้วยตวง
น้ำส้มผสมน้ำสับปะรด 40% (ตรา ทิปโก้คูล ฟิต),fruit,108.68,0,27.17,0,0,ถ้วยตวง
น้ำส้ม 100% (ตรา ยูเอฟซี),fruit,109.3,0,27.33,0,1.05,ถ้วยตวง
น้ำองุ่นแดง 100% (ตรา ยูนิฟ),fruit,123.08,0,30.77,0,0,ถ้วยตวง
น้ำฝรั่ง 100%,fruit,114.56,0.2,28.44,0,0,ถ้วยตวง
น้ำมังคุด,fruit,85.3,0.6,20.57,0.07,0.88,ถ้วยตวง
น้ำสตรอเบอร์รี่ 25%,fruit,33.2,0,8.3,0,0.4,ถ้วยตวง
น้ำส้ม 15%,fruit,90.8,0.3,22.4,0,0.3,ถ้วยตวง
น้ำส้ม 25%,fruit,42.8,0.2,10.5,0,0.8,ถ้วยตวง
น้ำองุ่น 25%,fruit,69.2,0,17.3,0,0.4,ถ้วยตวง
มะตะบะไส้กล้วย (ฮาลาล),fruit,90.57,2.01,11.5,4.06,0,ทัพพี
ส้มตำปูม้า,fruit,169.87,11.72,29.62,0.5,3.12,ถ้วยตวง
ส้มตำปูแสมดอง,fruit,114.38,4.04,23.34,0.54,3.82,ถ้วยตวง
ตำกล้วยตีบใหญ่,fruit,202.84,3.8,45.11,0.8,2.09,ถ้วยตวง
ตำมะม่วงดิบ,fruit,124.36,1,29.2,0.39,3.79,ถ้วยตวง
ตำมะละกอ,fruit,41.39,1.74,7.78,0.37,3.54,ถ้วยตวง
แกงกบใส่มะละกอ (ไม่ใส่กะทิ อาหารอีสาน),fruit,54.1,5.12,6.56,0.82,2.59,ถ้วยตวง
คั่วกบใส่มะละกอ,fruit,56.07,8.74,4.39,0.4,2.06,ถ้วยตวง
ก้อยจิ้งหรีดใส่มะม่วง,fruit,196.5,16.06,20.83,5.44,4.85,ถ้วยตวง
ตำฝรั่งใส่ปูนา,fruit,77.97,3.06,15.48,0.42,4.63,ถ้วยตวง
ตำแตงโมอ่อน,fruit,32.48,1.51,6,0.27,0.1,ถ้วยตวง
ตำฝรั่ง,fruit,93.91,2.26,19.93,0.57,6.72,ถ้วยตวง
ส้มตำไทยใส่ปู,fruit,118.35,5.55,16.95,3.15,0,ถ้วยตวง
แกงส้มป่อย (กะเหรี่ยงเมืองกาญฯ),fruit,15.57,1.73,1.51,0.29,0.1,100 กรัม
แกงหยวกกล้วย (กะเหรี่ยงเมืองกาญฯ),fruit,32.76,2.31,1.56,1.92,0.06,100 กรัม
ส้มตำลาว,fruit,68.58,1.89,14.39,0.39,3.45,ถ้วยตวง
แกงตูนใส่มะละกอ,fruit,57.26,6.39,5.25,1.19,1.28,ถ้วยตวง
น้ำพริกป่า ใส่มะม่วงดิบ,fruit,209.31,7.35,37.94,3.13,5.63,ถ้วยตวง
ยำกล้วยป่า,fruit,399.28,8.68,49.41,18.55,4.45,ถ้วยตวง
แกงเลียงใส่เม็ดมะม่วงหิมพานต์ (ภาคใต้),fruit,76.26,3.96,10.11,2.22,2.28,ถ้วยตวง
แกงเลียงใส่มะละกอดิบ (ภาคใต้),fruit,32.75,2.32,5.48,0.17,1.73,ถ้วยตวง
ยำมะม่วง / ยำมะมุด ใส่มะพร้าวคั่ว,fruit,252.35,2.7,35.77,10.94,5.72,ถ้วยตวง
ตำกล้วย,fruit,190.07,3.23,42.23,0.92,0.48,ถ้วยตวง
ตำกล้วยใส่มะเฟือง,fruit,147.03,2.54,31.96,1.01,1.08,ถ้วยตวง
กล้วยแขก / กล้วยทอด,fruit,461.9,2.48,102.67,4.59,0,ถ้วยตวง
กล้วยต้ม โรยหน้ามะพร้าว,fruit,335.89,1.76,78.99,1.43,5.2,ถ้วยตวง
กล้วยบวชชี หวาน มัน,fruit,235.48,1.48,47.26,4.5,5.06,ถ้วยตวง
สาลี่กรอบ,fruit,70.72,1.71,11.86,1.83,0.39,ชิ้น (กลาง)
กล้วยบวชชี หวาน ไขมันต่ำ,fruit,453.97,3.05,51.6,26.15,4.49,ถ้วยตวง
กล้วยบวชชี หวานน้อย ไขมันต่ำ,fruit,450.09,4.22,45.73,27.81,4.62,ถ้วยตวง
ซุปข้น หน่อไม้ฝรั่ง กระป๋อง สำหรับเติมนม 1 เท่าตัว,fruit,137.12,5.27,13.66,6.82,0.62,ถ้วยตวง
ซุปข้น หน่อไม้ฝรั่ง กระป๋อง สำหรับเติมน้ำ 1 เท่าตัว,fruit,74,1.91,8.9,3.42,0.41,ถ้วยตวง
อาหารเสริม แอปเปิ้ลซอส สูตร 2 พร้อมกิน ทารกและเด็ก 7 ด.-2 ปี (ตรา เกอร์เบอร์),fruit,122.78,0.93,29.56,0.09,0,ถ้วยตวง
อาหารเสริม น้ำแอปเปิ้ล พร้อมกิน ทารกและเด็ก 6 ด.-3 ปี ชนิดผลไม้ (ตรา เกอร์เบอร์),fruit,90.58,0.12,22.48,0.02,0,ถ้วยตวง
อาหารเสริม แอปเปิ้ลซอส จูเนียร์ พร้อมกิน ทารกและเด็ก 8 ด.-3 ปี ชนิดผลไม้ (ตรา ไฮนซ์),fruit,150.4,0.47,36.39,0.33,0,ถ้วยตวง
อาหารเสริม แอปเปิ้ลซอส พร้อมกิน ทารกและเด็ก 6 ด.-1 ปี ชนิดผลไม้ (ตรา ไฮนซ์),fruit,150.4,0.47,36.39,0.33,0,ถ้วยตวง
อาหารเสริม สตรอเบอร์รี่ ชนิดข้น จูเนียร์ พร้อมกิน ทารกและเด็ก 8 ด.-3 ปี ชนิดผลไม้ (ตรา ไฮนซ์),fruit,125.75,0.49,30.47,0.21,0,ถ้วยตวง